                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.27529,                0.24085,                0.86844,                0.99451,                0.77361,                0.79818,                0.76697,                0.87781,                 1.0286,                 1.4874,             0.00077823,             0.00077823,             0.00077823
                     94,                 0.2751,                0.23838,                 0.8764,                0.99499,                 0.7724,                0.79525,                0.77695,                0.87035,                0.95542,                 1.5091,             0.00077116,             0.00077116,             0.00077116
                     95,                0.27673,                0.24298,                0.85837,                0.99205,                0.76528,                0.79014,                0.77811,                0.92093,                0.94751,                 1.5935,             0.00076409,             0.00076409,             0.00076409
                     96,                0.28203,                0.25212,                0.85908,                0.99419,                0.77262,                0.80725,                0.78612,                0.92571,                 1.0394,                 1.5782,             0.00075701,             0.00075701,             0.00075701
                     97,                0.28447,                0.25435,                0.86022,                0.98572,                0.76528,                0.79511,                0.78132,                0.89913,                 1.0551,                 1.5784,             0.00074994,             0.00074994,             0.00074994
                     98,                0.25339,                 0.2284,                0.85606,                0.98638,                0.76528,                0.79615,                0.78277,                0.88594,                 1.0079,                 1.5587,             0.00074287,             0.00074287,             0.00074287
                     99,                0.27054,                0.24108,                0.85475,                 0.9922,                0.76528,                0.79447,                0.78015,                0.84153,                 1.0361,                  1.491,             0.00073579,             0.00073579,             0.00073579
                    100,                0.25524,                0.23525,                0.86103,                0.99099,                0.77361,                 0.8002,                 0.7775,                0.92847,                 0.9215,                 1.5769,             0.00072872,             0.00072872,             0.00072872
                    101,                0.25643,                0.23247,                 0.8555,                0.99551,                0.77361,                0.80182,                0.78771,                0.92293,                0.94274,                 1.5615,             0.00072164,             0.00072164,             0.00072164
                    102,                0.26701,                0.23759,                0.85791,                0.97787,                0.76528,                0.79216,                0.76473,                 1.0175,                0.91733,                 1.7401,             0.00071457,             0.00071457,             0.00071457
                    103,                0.25407,                0.22531,                0.85803,                0.96885,                0.75694,                0.79016,                0.77344,                0.99531,                 1.2058,                 1.7628,              0.0007075,              0.0007075,              0.0007075
                    104,                0.25219,                0.22756,                0.85757,                0.87898,                0.76528,                0.78125,                0.76476,                 0.9317,                 1.4479,                 1.6124,             0.00070042,             0.00070042,             0.00070042
                    105,                0.27025,                0.24218,                0.86975,                0.98494,                0.76528,                0.79869,                0.77394,                 0.9328,                0.99037,                  1.638,             0.00069335,             0.00069335,             0.00069335
                    106,                0.27639,                0.25533,                0.86436,                0.99704,                0.77641,                0.80979,                 0.7856,                0.94252,                0.83691,                 1.6158,             0.00068628,             0.00068628,             0.00068628
                    107,                0.26246,                0.24163,                0.86544,                0.99658,                0.76632,                0.81096,                0.78374,                0.93817,                0.83267,                 1.5857,              0.0006792,              0.0006792,              0.0006792
                    108,                0.26375,                0.24141,                0.86292,                0.99453,                0.76671,                0.79707,                0.77984,                0.95812,                0.84119,                 1.6439,             0.00067213,             0.00067213,             0.00067213
                    109,                0.24397,                0.22549,                0.85881,                0.99281,                0.77361,                0.80882,                0.79206,                0.92013,                0.89178,                 1.6069,             0.00066506,             0.00066506,             0.00066506
                    110,                0.24871,                0.22739,                0.85894,                0.96375,                0.77361,                0.80433,                0.78748,                0.88822,                  1.017,                 1.5802,             0.00065798,             0.00065798,             0.00065798
